DOMAIN	ACCESSION	Exophiala_alcalophila	Exophiala_crusticola	Exophiala_lecanii-corni	Exophiala_mesophila	Exophiala_sideris	Exophiala_spinifera	Exophiala_viscosa	Exophiala_xenobiotica
DNA_photolyase	PF00875.23	2	2	3	4	3	3	3	3
Transferase	PF02458.20	4	2	2	2	4	4	2	3
tRNA_SAD	PF07973.19	2	3	3	3	3	3	3	3
NIR_SIR_ferr	PF03460.22	2	1	2	2	2	2	2	2
DUF5923	PF19343.4	2	2	2	2	2	2	1	2
Sec23_BS	PF08033.17	3	2	3	3	3	3	3	3
Pex2_Pex12	PF04757.19	3	3	3	3	3	2	3	3
Ldi	PF18566.6	6	3	2	3	2	3	2	1
NadN_nucleosid_C	PF21953.1	2	2	2	1	2	2	2	2
CBAH	PF02275.23	5	3	2	3	3	4	1	1
Grg1	PF11034.13	2	3	3	2	3	3	3	3
KilA-N	PF04383.18	3	3	3	3	2	2	3	3
SAP	PF02037.32	3	3	2	2	4	4	2	2
RNA_pol_Rpb1_R	PF05001.18	0	1	1	1	1	1	1	1
XPG_N	PF00752.22	2	2	3	3	3	3	3	3
PXA	PF02194.20	3	3	3	3	2	2	3	3
RNA_pol_Rpb1_1	PF04997.17	2	2	2	3	2	3	3	3
GCV_T	PF01571.26	2	3	3	2	3	4	3	2
Pro-kuma_activ	PF09286.16	2	4	2	2	3	2	3	4
DNA_ligase_A_C	PF04679.20	2	3	2	3	3	3	3	3
GGACT	PF06094.17	2	3	2	2	4	2	4	3
TLD	PF07534.21	2	2	2	2	1	2	2	1
F_bP_aldolase	PF01116.25	2	2	2	2	5	4	3	2
ADSL_C	PF10397.14	3	2	3	2	3	3	3	3
AIRS_C	PF02769.27	2	2	2	2	2	1	2	2
2OG-FeII_Oxy_3	PF13640.11	3	4	1	3	2	3	3	3
S4	PF01479.30	4	2	3	1	3	3	4	2
EF-hand_4	PF12763.12	2	2	3	2	3	1	2	3
PI-PLC-Y	PF00387.24	2	3	2	3	3	3	3	3
Choline_kinase	PF01633.25	2	2	3	4	1	4	2	4
EamA	PF00892.25	0	1	5	4	4	1	3	4
VPS9	PF02204.23	2	3	3	3	3	2	3	3
RA	PF00788.28	3	3	3	1	3	3	3	3
Ndr	PF03096.19	4	3	0	4	3	4	0	4
Sec7	PF01369.25	4	1	3	3	2	3	3	3
Sld5	PF05916.16	4	2	4	4	2	1	2	3
Gig2-like	PF07350.17	2	3	3	2	3	3	4	1
DUF4267	PF14087.11	3	1	4	3	4	1	3	3
SE	PF08491.15	4	4	2	2	2	4	2	2
T5orf172	PF10544.14	3	1	4	2	3	2	3	4
YEATS	PF03366.21	3	3	2	3	3	2	3	3
Cullin_Nedd8	PF10557.14	3	3	3	2	3	3	3	2
Alg6_Alg8	PF03155.20	1	2	2	1	2	2	2	2
RNA_pol_Rpb1_2	PF00623.25	2	2	3	3	2	3	3	3
FAT	PF02259.28	3	2	3	2	3	3	3	2
ABC_tran_Xtn	PF12848.12	3	2	3	3	2	3	2	3
Kre9_KNH	PF10342.14	2	2	4	4	1	3	2	3
TRAPP	PF04051.21	3	2	3	2	3	3	3	2
Ribosomal_L22	PF00237.24	1	2	2	2	2	2	2	2
Ldh_2	PF02615.19	2	2	1	2	3	5	3	3
TRAM_LAG1_CLN8	PF03798.21	3	3	4	3	1	3	1	3
RNA_pol_Rpb1_3	PF04983.23	2	2	3	3	2	3	3	3
CwfJ_C_1	PF04677.20	3	2	3	1	2	3	4	3
SIS	PF01380.27	2	2	2	1	2	1	2	2
DHquinase_I	PF01487.20	2	2	3	1	3	5	2	3
Glucosamine_iso	PF01182.25	2	2	2	2	3	3	4	3
MFS_1_like	PF12832.12	4	2	1	0	5	2	4	3
Sod_Cu	PF00080.25	2	2	2	3	3	3	3	3
MRJP	PF03022.21	0	1	2	1	5	2	5	5
BRCT_2	PF16589.10	3	3	2	2	4	2	2	3
DEXQc_Suv3	PF22527.1	3	3	3	2	2	3	2	3
Glyco_transf_4	PF13439.11	3	2	2	2	3	3	3	3
Bys1	PF04681.17	1	3	3	5	2	1	3	3
Gti1_Pac2	PF09729.14	2	4	2	0	2	3	2	3
Methyltr_RsmB-F	PF01189.22	3	3	3	2	3	2	3	2
KOW	PF00467.34	2	2	3	2	3	3	3	3
MUG113	PF13455.11	3	1	4	1	3	2	3	4
GTP_EFTU_D3	PF03143.22	2	2	4	2	2	3	3	3
RNA_pol_Rpb1_4	PF05000.22	2	2	3	3	2	3	3	3
Peptidase_C14	PF00656.27	2	1	2	2	4	3	4	3
Hydant_A_C	PF19278.4	3	1	1	3	4	3	4	2
NTP_transf_2	PF01909.28	4	2	2	2	3	2	3	3
TFIIB	PF00382.24	1	2	1	2	2	1	1	2
DNA_pol_E_B	PF04042.21	2	3	3	2	3	3	3	2
UDPG_MGDP_dh	PF00984.24	2	3	2	2	2	2	4	4
ABC2_membrane_3	PF12698.12	1	2	4	3	1	2	3	2
FrsA-like	PF06500.16	2	2	3	3	3	3	1	4
RNA_pol_Rpb1_5	PF04998.22	2	2	3	3	2	3	3	3
TRI-like_N	PF22664.1	3	2	2	2	4	3	2	3
Whi5	PF08528.16	2	3	3	2	3	2	3	3
Clathrin_propel	PF01394.25	1	1	1	1	1	1	1	1
SAT	PF16073.10	2	1	3	2	1	3	2	6
MS_channel_2nd	PF00924.23	3	3	3	2	3	2	2	3
zf-Sec23_Sec24	PF04810.20	3	2	2	2	3	3	3	3
Anthrone_oxy	PF08592.16	2	4	2	2	3	2	5	1
UvrD-helicase	PF00580.26	2	3	2	3	2	4	2	3
ELO	PF01151.23	3	2	1	1	3	4	3	4
zf-UBP	PF02148.24	2	2	1	2	3	3	3	3
FKBP_C	PF00254.33	2	3	4	3	2	2	1	3
LicD	PF04991.18	0	2	2	3	1	2	1	3
Nucleoporin_C	PF03177.19	2	2	1	2	2	2	2	2
Peptidase_C48	PF02902.24	2	2	2	3	3	2	3	3
AMPK1_CBM	PF16561.10	3	3	3	1	2	3	3	2
AAA_21	PF13304.11	2	1	3	2	2	2	2	2
Ysc84	PF04366.17	3	2	3	3	2	3	2	2
Vac_ImportDeg	PF09783.14	2	2	2	2	2	2	2	2
Ribosomal_L27A	PF00828.24	3	3	3	2	2	3	2	2
AAA_15	PF13175.11	4	2	2	1	3	3	3	2
Pmp3	PF01679.22	4	1	1	3	3	1	3	4
Acatn	PF13000.12	1	1	1	1	1	0	1	1
Longin	PF13774.11	3	2	3	2	3	2	3	2
CNH	PF00780.27	2	2	3	2	3	2	3	3
CPSF_A	PF03178.20	3	2	3	2	3	3	2	2
ERCC4	PF02732.20	3	2	2	2	3	3	3	2
GCD14	PF08704.15	1	2	2	2	2	1	2	2
Glyco_transf_25	PF01755.22	0	3	2	4	2	4	2	3
HlyIII	PF03006.25	3	1	2	3	2	2	2	4
HORMA	PF02301.23	2	2	2	3	3	3	3	2
COPIIcoated_ERV	PF07970.17	1	3	2	2	2	1	2	2
PAP1	PF08601.15	2	2	2	2	2	2	3	2
UBA_7	PF22562.1	1	1	3	1	2	1	2	1
DUF3336	PF11815.13	3	1	3	2	3	3	2	3
MutS_IV	PF05190.23	2	2	2	3	3	2	3	3
Pyridox_ox_2	PF12900.12	2	2	2	3	3	3	3	2
TrkH	PF02386.21	3	2	4	3	1	2	2	2
AIM24	PF01987.22	3	2	3	3	2	2	2	3
SnoaL	PF07366.17	3	2	0	3	4	0	4	4
Transglut_core	PF01841.24	3	3	3	2	2	2	3	2
Cyclin_C	PF02984.24	3	3	3	2	3	2	2	2
PROPPIN	PF21032.2	2	2	2	2	2	1	2	2
zf-Tim10_DDP	PF02953.20	4	2	3	3	2	3	1	2
SWIRM	PF04433.22	2	3	2	3	2	2	3	3
Lipase_GDSL_2	PF13472.11	2	3	2	2	3	3	3	2
zf-AN1	PF01428.21	2	1	2	2	1	2	2	2
R3H	PF01424.27	3	4	3	2	2	2	2	2
Ytp1	PF10355.14	2	2	2	3	3	3	2	3
ERG4_ERG24	PF01222.22	2	3	2	2	2	3	2	3
AAA_30	PF13604.11	1	4	2	2	2	4	3	1
RdRP	PF05183.17	2	4	3	1	1	3	2	2
APS_kinase	PF01583.25	3	2	2	2	2	2	3	3
RuvB_N	PF05496.17	3	2	2	3	1	2	2	4
DUF3435	PF11917.13	3	1	5	3	2	4	0	1
ATP_bind_3	PF01171.25	2	2	2	2	2	2	2	2
DMFA2_C	PF20254.3	3	3	0	3	3	2	3	2
CitMHS	PF03600.21	2	1	2	2	3	3	3	3
PS-DH	PF14765.11	2	0	3	1	1	3	2	7
ERAP1_C	PF11838.13	2	2	2	2	2	3	3	3
RF-1	PF00472.25	2	2	2	2	3	3	3	2
TGT	PF01702.23	2	2	2	2	2	2	2	2
ARID	PF01388.26	1	3	3	2	3	2	2	3
Glyco_hydro_63	PF03200.21	2	2	3	3	2	2	2	2
Rad51	PF08423.16	3	3	2	2	2	2	2	3
WLM	PF08325.15	2	2	3	3	2	1	3	3
DEK_C	PF08766.16	3	2	2	3	2	2	2	3
HSF_DNA-bind	PF00447.22	2	3	2	2	3	2	3	2
BCS1_N	PF08740.16	3	2	2	2	2	2	2	4
BAH	PF01426.23	1	2	3	3	2	3	4	1
OPT	PF03169.20	1	1	3	3	4	2	2	2
tRNA-synt_1e	PF01406.24	3	2	3	3	1	3	2	2
DHO_dh	PF01180.26	2	1	2	2	1	2	1	2
DNA_mis_repair	PF01119.24	3	2	3	2	3	2	2	2
Nop	PF01798.23	2	2	2	3	3	3	2	2
ATP_bind_1	PF03029.22	2	2	2	1	3	3	3	3
LON_substr_bdg	PF02190.21	3	1	1	2	3	3	3	3
GTP_cyclohydro2	PF00925.25	3	2	2	2	2	3	3	2
DUF3669	PF12417.13	1	3	0	3	3	3	3	2
Ppx-GppA	PF02541.21	3	2	1	2	2	2	2	3
TatD_DNase	PF01026.26	2	2	3	3	2	2	2	2
Ribosomal_L2_C	PF03947.23	2	2	2	2	2	2	2	2
IF4E	PF01652.23	2	3	3	2	2	2	2	2
DUF1752	PF08550.15	2	3	1	2	2	1	3	4
AATase	PF07247.17	1	1	1	3	2	2	2	2
DUF3723	PF12520.13	1	0	1	2	2	2	0	2
FmdA_AmdA	PF03069.20	0	2	1	1	2	2	2	2
HeLo	PF14479.11	1	0	8	0	1	5	1	0
HbpS-like	PF03928.19	2	2	2	2	3	2	3	2
BSD	PF03909.22	1	1	2	2	2	2	2	1
PAP_assoc	PF03828.24	3	2	2	1	3	1	3	3
Ap4A_phos_N	PF19327.4	2	3	3	3	1	2	2	2
zf-HC5HC2H	PF13771.11	2	2	3	3	2	2	3	1
His_biosynth	PF00977.26	2	3	2	2	2	1	2	2
PFK	PF00365.25	1	1	1	1	1	1	1	2
NTP_transf_3	PF12804.12	2	3	2	1	3	2	3	2
EBP	PF05241.17	2	2	2	2	2	2	2	4
PDZ_1	PF12812.12	1	1	1	1	1	2	1	1
DUF1349	PF07081.17	2	4	2	3	2	2	1	2
Glyco_hydro_79C	PF16862.10	2	1	2	2	3	2	2	4
PKS_DH_N	PF21089.2	1	1	2	1	1	4	2	6
Transketolase_N	PF00456.26	1	4	2	1	2	4	1	2
LamB_YcsF	PF03746.21	3	3	1	1	3	2	3	2
SBF	PF01758.21	4	2	2	1	2	2	1	2
zf-HC5HC2H_2	PF13832.11	2	2	3	3	2	2	3	1
pYEATS	PF20305.3	3	2	2	2	2	2	2	3
EST1_DNA_bind	PF10373.14	2	2	1	3	2	4	2	2
FUSC_2	PF13515.11	1	1	2	1	3	3	4	3
Carn_acyltransf	PF00755.25	2	3	2	2	2	2	2	3
NDT80_PhoG	PF05224.17	2	1	2	2	3	2	3	3
Ceramidase	PF05875.17	2	2	2	2	3	2	3	2
VWA_3	PF13768.11	2	2	2	2	3	3	3	1
CRCB	PF02537.20	2	1	1	1	2	1	1	2
Glyco_hydro_12	PF01670.22	2	3	3	2	2	1	2	2
Thioredoxin_6	PF13848.11	1	1	1	1	1	2	1	1
Acyl_CoA_thio	PF02551.20	2	1	2	3	2	3	2	2
Ctr	PF04145.20	3	3	3	3	1	1	2	1
Melibiase_2	PF16499.10	1	0	3	1	2	2	1	1
Cu_amine_oxidN3	PF02728.21	2	2	1	1	3	3	3	2
CBF	PF03914.22	2	2	3	2	2	2	2	2
malic	PF00390.24	2	2	2	2	2	2	3	2
TPR_11	PF13414.11	1	2	3	3	2	2	3	1
Vps4_C	PF09336.15	2	2	2	2	3	2	2	2
Sec7-like_HUS	PF12783.12	3	1	3	2	1	2	2	3
DUF3605	PF12239.13	2	2	2	2	2	2	2	2
UAA	PF08449.16	3	2	1	2	3	3	1	2
VTC	PF09359.15	2	3	3	2	2	1	2	2
DUF4387	PF14330.11	1	0	1	3	2	5	1	4
UbiA	PF01040.23	2	2	2	2	2	3	2	2
IBR_1	PF22191.1	1	3	3	3	0	2	2	3
Utp12	PF04003.17	3	2	2	2	2	3	1	2
Sterol-sensing	PF12349.13	2	2	2	2	2	2	2	2
Usp	PF00582.31	2	2	2	2	2	3	2	2
UstYa	PF11807.13	4	3	4	1	1	3	0	1
Protoglobin	PF11563.13	1	1	3	2	2	3	2	3
AAA_31	PF13614.11	2	2	3	2	3	1	2	2
GCV_T_C	PF08669.16	2	2	2	2	2	3	2	2
MOZ_SAS	PF01853.23	2	1	2	2	2	3	2	2
TsaD	PF00814.30	2	2	2	2	2	2	2	2
Porin_3	PF01459.27	2	2	2	2	2	2	2	2
GST_C_7	PF22041.1	2	1	1	1	2	4	2	4
NIPSNAP	PF07978.18	1	1	1	1	1	2	1	1
14-3-3	PF00244.25	2	2	3	2	2	2	2	2
RTC	PF01137.26	1	1	2	1	2	2	2	2
LuxC	PF05893.19	4	2	1	3	3	3	0	1
OTT_1508_deam	PF14441.11	2	1	3	1	1	5	0	4
Malic_M	PF03949.20	2	2	2	2	2	2	3	2
G_glu_transpept	PF01019.26	2	2	2	2	1	3	3	2
NTP_transf_9	PF04248.18	2	1	3	2	2	2	2	2
PSMD12-CSN4_N	PF22241.1	2	2	1	2	1	2	2	0
GDA1_CD39	PF01150.22	2	1	2	2	3	2	3	2
Sigma54_activat	PF00158.31	1	3	2	1	2	3	2	3
SPRY	PF00622.34	2	3	2	2	2	2	2	2
ATP_transf	PF09830.14	2	2	3	3	1	2	2	2
NAD_binding_7	PF13241.11	2	2	2	2	2	2	2	2
Peptidase_M18	PF02127.20	2	2	2	2	2	2	2	2
ADK_lid	PF05191.19	2	2	2	2	2	2	2	2
GDI	PF00996.23	2	2	2	2	2	2	2	2
MTR4-like_stalk	PF21408.2	2	2	2	2	2	2	2	2
PMI_typeI_cat	PF20511.3	2	3	2	2	1	2	2	2
PRK	PF00485.23	2	3	2	1	3	1	3	1
TFR_dimer	PF04253.20	2	2	2	2	2	2	2	2
eIF3h_C	PF19445.4	1	1	1	1	1	1	1	1
Methyltransf_28	PF02636.22	2	2	2	2	2	2	2	2
Diphthamide_syn	PF01866.22	2	2	2	2	2	2	2	2
Lum_binding	PF00677.22	1	1	1	1	1	1	1	1
ECR1_N	PF14382.11	2	2	2	2	2	2	2	2
CoaE	PF01121.25	1	1	1	1	1	1	1	1
PI3Ka	PF00613.25	2	2	2	2	2	2	2	2
ANTH	PF07651.21	3	1	2	2	3	1	3	1
ELFV_dehydrog	PF00208.26	2	2	2	2	2	2	2	2
Rad1	PF02144.21	2	3	2	1	3	1	2	2
STPPase_N	PF16891.10	2	2	2	2	2	2	2	2
PRELI	PF04707.19	2	2	2	2	2	2	2	2
tRNA-synt_1c_C	PF03950.23	2	2	2	2	2	2	2	2
TBP	PF00352.26	1	1	1	1	1	1	1	1
YjeF_N	PF03853.20	2	2	2	2	2	2	2	2
DUF3455	PF11937.13	2	3	2	1	2	2	2	2
LRR_9	PF14580.11	2	2	2	2	2	1	2	2
Coatomer_WDAD	PF04053.19	2	2	2	2	2	2	2	2
Pirin	PF02678.21	2	2	2	2	2	2	2	2
Caleosin	PF05042.18	0	3	2	1	3	1	2	4
KYNU_C	PF22580.1	2	2	2	2	2	2	2	2
GDC-P	PF02347.21	1	1	1	1	1	1	1	1
Ribosomal_S8e	PF01201.27	2	2	2	2	2	2	2	2
Frag1	PF10277.14	3	2	2	2	2	2	1	2
DSHCT	PF08148.17	2	2	2	2	2	2	2	2
RasGAP_C	PF03836.20	2	2	2	2	2	2	2	2
Fer4_10	PF13237.11	2	2	2	2	2	2	2	2
Glyco_trans_4_4	PF13579.11	2	2	2	1	2	3	2	2
Acyltransf_C	PF16076.10	2	2	2	2	2	1	2	3
YL1_C	PF08265.16	2	2	2	2	2	2	2	2
Ribosomal_S10	PF00338.27	2	2	2	2	2	2	2	2
RNA_pol_Rpb2_4	PF04566.18	2	2	2	2	2	2	2	2
YTH	PF04146.20	1	2	2	2	2	2	3	2
ClpB_D2-small	PF10431.14	1	2	3	1	2	2	2	3
Cse1	PF08506.15	2	2	2	2	2	2	2	2
THF_DHG_CYH_C	PF02882.24	2	2	2	2	2	2	2	2
NDUFA12	PF05071.21	2	2	2	2	2	2	2	2
eIF-1a	PF01176.24	2	2	2	2	2	2	2	2
tRNA-synt_1d	PF00750.24	2	2	2	2	2	2	2	2
CHAT	PF12770.12	1	1	5	0	1	6	1	1
Glyco_hydro_125	PF06824.16	2	1	2	1	3	3	1	2
DUF3500	PF12006.13	1	2	1	2	5	1	2	2
Ribosomal_S15	PF00312.27	2	2	2	2	2	2	2	2
Acetyltransf_8	PF13523.11	2	2	2	2	1	3	2	2
Histone_H2A_C	PF16211.10	2	2	2	2	2	2	2	2
Ribosomal_S9	PF00380.24	2	2	2	2	2	2	2	2
SUI1	PF01253.27	1	2	2	2	3	2	2	2
PTPA	PF03095.20	2	2	2	2	2	2	2	2
DNA_binding_1	PF01035.25	1	2	2	2	3	1	3	2
GIT_SHD	PF08518.16	1	1	1	1	1	1	1	1
EMP70	PF02990.21	2	2	2	2	2	2	2	2
Surp	PF01805.25	0	2	2	1	1	1	2	1
DEDDh_C	PF21762.2	1	1	1	1	2	1	1	1
Sirohm_synth_C	PF14823.11	2	2	2	2	2	2	2	2
VIT1	PF01988.24	2	1	0	1	4	2	3	3
CCDC90-like	PF07798.16	2	2	2	2	2	2	2	2
Chs7	PF12271.13	2	2	2	1	2	2	2	2
DUF6829	PF20717.2	2	2	2	2	2	2	2	2
Gal80p_C-like	PF22685.1	2	2	3	2	2	2	2	1
Ribosomal_L2	PF00181.28	2	2	2	2	2	2	2	2
Yippee-Mis18	PF03226.20	3	2	1	2	2	2	2	2
Glyco_transf_41	PF13844.11	1	1	1	1	1	1	1	1
DMRL_synthase	PF00885.24	1	1	1	1	1	1	1	1
Sirohm_synth_M	PF14824.11	2	2	2	2	2	2	2	2
PUA	PF01472.25	2	1	3	1	2	3	2	2
Bax1-I	PF01027.25	2	2	2	2	2	2	2	2
CCD97-like_C	PF09747.14	1	1	1	1	1	1	1	1
PhoD	PF09423.15	4	1	2	1	3	1	1	2
THF_DHG_CYH	PF00763.28	2	2	2	2	2	2	2	2
Pam16	PF03656.18	2	2	2	2	2	2	2	2
Solute_trans_a	PF03619.21	2	1	1	1	3	2	4	2
Sedlin_N	PF04628.18	2	2	2	2	2	2	2	2
MBOAT_2	PF13813.11	2	2	3	2	2	2	1	2
TP_methylase	PF00590.25	2	2	2	2	2	2	2	2
DUF2408	PF10303.14	1	1	1	1	1	1	1	1
MIT	PF04212.23	2	2	2	2	2	2	2	2
SBDS	PF01172.23	2	2	2	2	2	2	2	2
GTP1_OBG	PF01018.27	1	1	1	1	1	1	1	1
Helicase_C_2	PF13307.11	1	2	2	2	2	2	2	2
AlaDh_PNT_N	PF05222.20	2	2	2	2	2	2	2	2
Mac	PF12464.13	0	2	2	2	1	2	4	3
Mcp5_PH	PF12814.12	2	2	2	2	2	2	2	2
Ribosomal_L4	PF00573.27	2	2	2	2	2	2	2	2
Uricase	PF01014.23	1	1	1	1	1	1	1	1
HEAT_PBS	PF03130.21	1	1	1	1	1	1	1	1
ENTH	PF01417.25	2	2	3	2	3	2	1	1
DAHP_synth_1	PF00793.25	2	2	2	2	2	2	2	2
Ribosomal_L23	PF00276.25	2	2	2	2	2	2	2	2
PBD	PF00786.33	2	2	2	2	2	2	2	2
zf-C2H2_2	PF12756.12	1	2	1	2	2	3	1	3
SHMT	PF00464.24	2	2	2	2	2	2	2	2
MTHFR	PF02219.22	2	1	2	2	2	2	2	2
CDH-cyt	PF16010.10	1	1	3	2	2	2	2	3
Ribosomal_L11	PF00298.24	2	2	2	2	2	2	2	2
PARG_cat_microb	PF10021.14	3	1	2	3	2	1	2	2
PUL	PF08324.16	2	2	2	2	2	2	2	2
RRM_5	PF13893.11	2	2	3	2	2	3	0	2
Peptidase_M41	PF01434.23	2	2	2	2	2	2	2	2
UDPGP	PF01704.23	2	2	2	2	2	2	2	2
PRMT_C	PF22528.1	2	2	2	2	2	2	2	2
EAP30	PF04157.21	2	2	2	2	2	2	2	2
MTHFR_C	PF21895.1	2	1	2	2	2	2	2	2
ACPS	PF01648.25	1	3	1	2	3	1	2	3
SRP54	PF00448.27	2	2	2	3	1	2	2	2
DASH_Spc34	PF08657.15	1	1	1	1	1	1	1	1
jr-ZPR1	PF22794.1	1	1	1	1	1	1	1	1
Ribosom_S12_S23	PF00164.30	2	2	2	2	2	2	2	2
MTR4_beta-barrel	PF13234.11	2	2	2	2	2	2	2	2
Peptidase_M48	PF01435.23	2	2	2	2	2	2	2	2
Methyltransf_4	PF02390.22	2	2	1	0	2	1	4	4
Nucleoporin_N	PF08801.16	2	2	1	2	2	2	2	2
Med26	PF08711.16	3	2	3	3	1	1	2	1
RNA_pol_Rpb2_5	PF04567.22	2	2	2	2	2	2	2	2
EI24	PF07264.16	2	2	2	2	2	2	2	2
UBA_E1_SCCH	PF10585.14	2	2	2	2	2	2	2	2
PRKCSH-like	PF12999.12	1	1	1	1	1	1	1	1
Ribosomal_L13	PF00572.23	2	2	2	2	2	2	2	2
RPN7	PF10602.14	2	2	2	2	2	2	2	2
Ribosomal_L5_C	PF00673.26	2	2	2	2	2	2	2	2
MFS_MOT1	PF16983.10	1	1	1	1	1	1	1	1
PAPS_reduct	PF01507.24	2	2	2	2	2	2	2	2
TIP49	PF06068.18	2	2	2	2	2	2	2	2
ERGIC_N	PF13850.11	1	4	2	2	2	1	2	2
TIP49_C	PF17856.6	2	2	2	2	2	2	2	2
XFP_C	PF09363.15	1	2	2	2	2	1	2	3
HIG_1_N	PF04588.18	1	2	2	2	2	1	2	3
Lipocalin_5	PF13924.11	2	1	0	1	2	1	3	5
XFP	PF03894.20	1	2	2	2	2	1	2	3
Trehalose_PPase	PF02358.21	2	1	2	2	2	2	2	2
Tautomerase_3	PF14832.11	1	0	0	1	3	4	3	3
MoCoBD_2	PF20256.3	1	1	2	2	3	2	2	2
zf-ZPR1	PF03367.18	1	1	1	1	1	1	1	1
Asparaginase	PF00710.25	2	1	2	3	2	3	1	1
Tcp11	PF05794.18	1	2	2	2	2	2	2	2
zf-RanBP	PF00641.23	1	1	1	1	2	1	1	2
RNA_pol_A_bac	PF01000.31	1	2	2	2	2	2	2	2
tRNA-synt_1c_C2	PF20974.2	2	2	1	2	2	2	2	2
XFP_N	PF09364.15	1	2	2	2	2	1	2	3
PHAF1	PF03676.19	1	1	1	1	1	1	1	1
Tom37	PF10568.14	2	2	2	1	2	2	2	2
Succ_DH_flav_C	PF02910.25	2	2	2	2	2	2	1	2
5-FTHF_cyc-lig	PF01812.25	2	1	3	1	2	2	2	2
ArgoN	PF16486.10	2	1	2	2	3	1	2	2
NIR_SIR	PF01077.27	2	1	2	2	2	2	2	2
UFD1	PF03152.19	2	2	1	2	2	2	2	2
PWI	PF01480.22	1	2	2	2	2	2	2	2
Fructosamin_kin	PF03881.19	1	1	3	2	1	1	1	5
tRNA-synt_His	PF13393.11	2	2	2	1	2	2	2	2
Ribosomal_S2	PF00318.25	2	1	2	2	1	1	1	2
DUF3533	PF12051.13	0	3	2	0	1	1	5	2
AdoHcyase	PF05221.22	1	1	1	1	1	1	1	1
GST_C_6	PF17171.9	2	2	2	1	2	2	2	2
Sod_Fe_N	PF00081.27	2	2	2	2	2	1	2	2
1-cysPrx_C	PF10417.14	1	2	2	2	2	2	2	2
Toprim	PF01751.27	2	2	2	1	2	2	2	2
Ribosomal_S17	PF00366.25	1	2	2	2	2	2	2	2
ABC_membrane_2	PF06472.20	2	1	2	2	2	2	2	2
RINGv	PF12906.12	2	1	2	2	2	2	1	3
DUF3818	PF12825.12	0	2	1	1	1	1	2	2
Tyr-DNA_phospho	PF06087.17	2	2	1	2	1	2	1	2
GED	PF02212.23	2	2	2	2	2	3	1	1
Pyrophosphatase	PF00719.24	1	1	2	1	2	2	1	4
eRF1_2	PF03464.20	2	2	2	2	1	2	2	2
PPP2R1A-like_HEAT	PF22646.1	2	2	2	2	2	2	2	1
Ribosomal_S5	PF00333.25	2	1	2	2	2	2	2	2
SRP54_N	PF02881.24	2	2	2	2	1	2	2	2
eRF1_1	PF03463.20	2	2	2	2	1	2	2	2
CRAL_TRIO_2	PF13716.11	2	2	0	2	2	2	3	2
La	PF05383.22	2	2	2	2	2	2	2	1
MFS_4	PF06779.19	1	0	3	2	1	5	0	3
Phosphoesterase	PF04185.19	1	0	0	0	5	2	3	3
ATG27	PF09451.15	2	1	2	2	2	2	1	2
Choline_transpo	PF04515.17	2	2	2	1	2	2	2	2
Tudor-knot	PF11717.13	2	2	2	2	2	2	1	2
Tropomyosin	PF00261.25	1	1	1	1	1	1	1	1
Sds3	PF08598.16	2	2	2	2	2	1	2	2
CSN8_PSD8_EIF3K	PF10075.14	2	2	1	2	2	2	2	2
TIM	PF00121.23	2	2	2	2	1	2	2	2
CLP1_P	PF16575.10	2	2	2	2	2	2	1	2
DUF3712	PF12505.13	2	2	2	2	2	2	2	1
Asparaginase_C	PF17763.6	2	1	2	3	2	3	1	1
JmjN	PF02375.22	2	1	2	2	2	2	2	2
Ribosomal_L14	PF00238.24	2	2	2	2	2	2	2	1
CPSase_L_D3	PF02787.24	2	2	2	2	2	1	2	2
ER_lumen_recept	PF00810.23	1	2	2	2	2	2	2	2
NOT2_3_5_C	PF04153.23	2	1	2	2	2	2	2	2
MPC	PF03650.18	2	2	2	2	2	2	1	2
Piwi	PF02171.22	2	1	2	2	3	1	2	2
FoP_duplication	PF13865.11	1	2	2	2	2	2	2	2
HRI1	PF16815.10	2	1	2	2	2	2	2	2
TB2_DP1_HVA22	PF03134.24	2	2	2	2	2	1	2	2
eRF1_3	PF03465.20	2	2	2	2	1	2	2	2
Ribosomal_L3	PF00297.27	2	2	1	2	2	2	2	2
Glyco_hydro_130	PF04041.18	2	2	2	1	0	0	0	2
Cellulose_synt	PF03552.19	2	3	2	1	2	1	2	2
ETF	PF01012.26	2	1	2	2	2	2	2	2
DFP	PF04127.20	1	1	1	1	1	1	1	1
Glyco_hydro127C	PF20737.2	0	0	1	0	6	1	2	5
DRMBL	PF07522.19	2	2	1	2	2	2	2	2
DER1	PF04511.20	2	1	1	1	2	2	2	2
HAT	PF02184.21	1	1	1	1	1	1	1	1
Guanylate_cyc	PF00211.25	1	2	2	2	2	2	2	2
Glyco_hydro_15	PF00723.26	2	1	2	2	2	1	2	2
Ribosomal_L30	PF00327.25	2	1	2	2	2	2	2	2
DAO_C	PF16901.10	2	2	2	1	2	2	2	2
CurL-like_PKS_C	PF22621.1	2	1	3	0	1	2	1	5
CT_A_B	PF02626.20	2	2	1	1	2	2	2	2
ACBP	PF00887.24	2	2	2	2	2	1	2	2
Dicer_dimer	PF03368.19	1	2	2	2	2	2	2	2
Fcf1	PF04900.17	2	1	2	2	2	2	2	2
AXE1	PF05448.17	2	2	4	3	1	1	1	1
Beta-AFase-like_GH127_cat	PF07944.17	0	0	1	0	6	1	2	5
